,Date,URL,Keyword,Tweet
0,2022-11-11 02:30:06+00:00,https://twitter.com/AAOS1/status/1590894606820200449,knee replacement arthroplasties,"Did you know? The number of procedures reported to the AAOS American Joint Replacement Registry continues to increase. The AJRR 2022 Annual Report represents 2,550,232 primary and revision hip and knee arthroplasties performed between 2012 and 2021. https://t.co/i5gnOGCp1V https://t.co/G1uSPtOHTz"
1,2022-06-30 10:35:01+00:00,https://twitter.com/AAOS1/status/1542456665890586625,knee replacement arthroplasties,Did you know? The use of cementless fixation in primary total knee arthroplasty is rapidly increasing in the AAOS American Joint Replacement Registry and was reported for over 14% of all primary total knee arthroplasties in 2020. Read more: https://t.co/HlRpWr6jFC https://t.co/PgTHEPOYtC
2,2022-05-31 23:27:02+00:00,https://twitter.com/GeoSciences/status/1531779315976679424,knee replacement arthroplasties,St. Georg sledge for medial compartment knee replacement. 461 arthroplasties followed for 4 (1-17) years https://t.co/e4vDMF3g9w
3,2022-05-26 02:40:01+00:00,https://twitter.com/AAOS1/status/1529653552733466626,knee replacement arthroplasties,Did you know? According to the AAOS American Joint Replacement Registry 2021 Annual Report most total knee arthroplasties continue to include a resurfaced patella although a slight trend toward unresurfaced patellae is apparent. Read more: https://t.co/vPkfyMZtoZ #OrthoRegistries https://t.co/jjWqg6GSKS
4,2022-05-23 06:00:46+00:00,https://twitter.com/BoneJointJ/status/1528616908798533632,knee replacement arthroplasties,"De-identified individual-level data on all revision knee arthroplasties performed in Australia from 2007 to 2017 were obtained from the Australian Orthopaedic Association National Joint Replacement Registry.

#arthroplasty #knee

https://t.co/NqoNLfHqt4 https://t.co/C0GuhpQJwN"
5,2022-04-19 17:00:41+00:00,https://twitter.com/jbjs/status/1516461795292110857,knee replacement arthroplasties,"Racial Differences in Care and Outcomes After Total Hip and Knee Arthroplasties - Did the Comprehensive Care for Joint Replacement Program Make a Difference?

@MountSinaiOrtho   @IcahnMountSinai  @IHDS_Sinai   

https://t.co/vUjopx00V8 https://t.co/RuIoD8MzpM"
6,2021-08-17 14:11:19+00:00,https://twitter.com/RS_Preprints/status/1427634145556115459,knee replacement arthroplasties,Introduction of Day Case Hip and Knee Replacement Programme at an Inpatient Ward is Safe and May Expedite Shortening of Hospital Stays of Traditional Arthroplasties #preprints https://t.co/HXPoH3IFHq
7,2021-06-16 14:15:19+00:00,https://twitter.com/cfaortho/status/1405167104324689924,knee replacement arthroplasties,"Physician Spotlight: Meet Joseph Hanna, MD, an orthopaedic surgeon at CAO The Orthopaedic Center. Dr. Hanna specializes in adult reconstruction/joint replacement with an emphasis on hip, knee, and shoulder joint arthroplasties. Learn more here: https://t.co/EEKDyvN771. https://t.co/PlxvOzjoec"
8,2021-06-11 17:37:26+00:00,https://twitter.com/POH_Smiles/status/1403406032051769345,knee replacement arthroplasties,"""Conclusions:

Around 7 million Americans are living with a hip or knee replacement, and consequently, in most cases, are mobile, despite advanced arthritis. These numbers underscore the substantial public health impact of total hip and knee arthroplasties."""
9,2021-05-26 06:28:42+00:00,https://twitter.com/AOA_ortho/status/1397439533973532678,knee replacement arthroplasties,A Lombardi: Lessons learned from 12k outpatient arthroplasties; @dellavalleortho: Is outpatient arthroplasty safe?; @HipSurgeryNYC: Why do we need technology?; S Kreuzer: Economics of outpatient arthroplasty; &amp; @DrAntoniaChen: Prevention of infection in hip &amp; knee replacement.
10,2021-02-11 03:00:00+00:00,https://twitter.com/ICJRortho/status/1359698674218127361,knee replacement arthroplasties,Find out how top joint replacement surgeons managed 4 difficult knee arthroplasties and what lessons they learned from their failures https://t.co/46hjLG8Xle https://t.co/DHZJoEm2fZ
11,2021-02-10 23:00:00+00:00,https://twitter.com/ICJRortho/status/1359638275397353472,knee replacement arthroplasties,Find out how top joint replacement surgeons managed 4 difficult knee arthroplasties and what lessons they learned from their failures https://t.co/46hjLFRlWE https://t.co/KZQp0UzYpO
12,2021-02-10 19:00:01+00:00,https://twitter.com/ICJRortho/status/1359577881215725570,knee replacement arthroplasties,Find out how top joint replacement surgeons managed 4 difficult knee arthroplasties and what lessons they learned from their failures https://t.co/46hjLG8Xle https://t.co/UMh0seGxMJ
13,2021-02-10 15:00:01+00:00,https://twitter.com/ICJRortho/status/1359517483628040194,knee replacement arthroplasties,Find out how top joint replacement surgeons managed 4 difficult knee arthroplasties and what lessons they learned from their failures https://t.co/46hjLFRlWE https://t.co/fSMon1hCn1
